date,time,meal_kcal
2024/10/04,07:38:00,276
2024/10/04,11:15:00,489
2024/10/04,15:20:00,646
2024/10/04,16:23:00,40
2024/10/04,18:20:00,1023
2024/10/04,21:16:00,150
2024/10/05,07:55:00,386
2024/10/05,10:40:00,367
2024/10/05,11:10:00,60
2024/10/05,12:52:00,402
2024/10/05,16:10:00,417
2024/10/05,20:52:00,369
2024/10/06,07:36:00,343
2024/10/06,10:10:00,314
2024/10/11,06:58:00,385
2024/10/11,15:52:00,570
2024/10/11,21:10:00,291
2024/10/12,10:05:00,385
2024/10/12,14:42:00,305
2024/10/12,15:22:00,58
2024/10/12,18:35:00,279
2024/10/13,08:45:00,562
2024/10/13,10:30:00,405
2024/10/13,13:20:00,205
2024/10/13,15:45:00,396
2024/10/13,20:00:00,535
2024/10/14,08:18:00,278
2024/10/14,12:54:00,323
2024/10/14,14:45:00,735
2024/10/14,18:45:00,395
2024/10/22,08:45:00,527
2024/10/22,15:55:00,1027
2024/10/22,19:22:00,491
2024/10/24,08:22:00,562
2024/10/24,11:33:00,625
2024/10/24,17:37:00,611
2024/10/24,21:23:00,423
2024/10/25,07:23:00,432
2024/10/25,14:56:00,507
2024/10/25,19:37:00,517
2024/10/26,07:36:00,500
2024/10/26,10:20:00,353
2024/10/26,12:36:00,390
2024/10/26,15:11:00,357
2024/10/26,20:18:00,217
2024/10/31,08:53:00,188
2024/10/31,12:23:00,325
2024/10/31,14:52:00,447
2024/10/31,17:15:00,447
2024/10/31,21:09:00,453
2024/11/01,09:27:00,381
2024/11/01,10:19:00,242
2024/11/01,12:42:00,181
2024/11/01,13:15:00,288
2024/11/02,07:23:00,367
2024/11/02,13:03:00,243
2024/11/02,14:17:00,627
2024/11/02,14:17:00,627
2024/11/03,07:54:00,230
2024/11/03,12:02:00,335
